Team:,11
Match:,12
Position,Left
AUTONOMOUS
Crossed Line:,No
Dropped Block:,No
Block Placement:,N/A
Blocks Picked Up:,3
Alliance Switch Blocks:,0
Scale Blocks:,0
Opponent Switch Blocks:,0
Blocks in Exchange:,0
TELEOP
Blocks Picked Up:,3
Alliance Switch Blocks:,3
Scale Blocks:,0
Opponent Switch Blocks:,0
Blocks in Exchange:,0
Levitate:,0
Force:,0
Boost:,0
ENDGAME
Climb:,Did Not Climb
Number Climbing on This:,0
Error:,No
Defensive:,No
Comments:,did not move in autonomous and did not move until 15 seconds into the match